Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Killarney Lodge,http://www.killarneylodge.ie,+353(0)646636499,-9.505884,52.056616,Kerry,Killarney,Republic of Ireland,Guesthouse
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260331,51.541699,Cork,Skibbereen,Republic of Ireland,Camping
Clonvilla,,+353(0)2498288,-7.924324,51.91066,Cork,Youghal,Republic of Ireland,Camping
Rosses Point Caravan Park (Greenlands),http://www.sligocaravanandcamping.ie,+353(0)719177113,-8.569483,54.306976,Sligo,Rosses Point,Republic of Ireland,Camping
Strandhill Caravan and Camping Park,http://www.sligocaravanandcamping.ie,+353(0)719168111,-8.605472,54.271988,Sligo,Airport Road,Republic of Ireland,Camping
Caseys Caravan Park,http://www.caseyscaravanpark.com,+353(0)749155376,-7.837826,55.195124,Donegal,Downings,Republic of Ireland,Camping
Flemings White Bridge Caravan and Camping,http://www.killarneycamping.com,+353(0)646631590,-9.47590406494146,52.0571132152927,Kerry,Killarney,Republic of Ireland,Camping
Fossa Caravan and Camping Park,http://www.fossacampingkillarney.com,+353(0)646631497,-9.585609,52.070824,Kerry,Fossa,Republic of Ireland,Camping
Streamstown Caravan & Camping Park,http://www.tipperarycaravanpark.com,35350521519,-7.83932649999999,52.957265,Tipperary,Roscrea,Ireland,Camping
Roundwood Caravan and Camping Park,http://www.dublinwicklowcamping.com,35312818163,-6.22231876721184,53.0690991517685,Wicklow,Roundwood,Republic of Ireland,Camping
Barleycove Holiday Park,https://www.facebook.com/pages/category/Local-Business/Barleycove-Holiday-park-137052389810705,+353(0)2835302,-9.78195,51.469705,Cork,Crookhaven,Republic of Ireland,Camping
Eagle Point Camping,http://www.eaglepointcamping.com,+353(0)2750630,-9.453848,51.719186,Cork,Ballylickey,Republic of Ireland,Camping
Newtown Cove Caravan and Camping Park,https://www.facebook.com/pages/Newtown-Cove-Caravan-Park-Tramore/214205415369614,+353(0)51381979,-7.172576,52.147718,Waterford,Tramore,Republic of Ireland,Camping
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland,Camping
Ballinacourty House,http://www.camping.ie,+353(0)6256000,-8.209861,52.41631,Tipperary,Glen Of Aherlow,Republic of Ireland,Camping
Green Acres Caravan and Camping Park,http://www.greenacrescamping.ie,+353(0)659057011,-9.643485,52.620692,Clare,Kilkee,Republic of Ireland,Camping
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland,Camping
Mannix Point Camping and Caravan Park,http://www.campinginkerry.com,+353(0)669472806,-10.24526,51.941941,Kerry,,Republic of Ireland,Camping
Fitzmaurice's Caravan & Camping Park,http://www.fitzmauricescaravanpark.com,+353(0)51381466,-7.138872,52.164454,Waterford,Riverstown,Republic of Ireland,Camping
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland,Camping
Jasmine Villa,,+353(0)214883234,-8.23967,51.911458,Cork,Carrigtwohill,Republic of Ireland,Camping
Keel Sandybanks Caravan and Camping Park,http://www.achillcamping.com,+353(0)9843211,-10.077045,53.974912,Mayo,,Republic of Ireland,Camping
Blarney Caravan and Camping Park,http://www.blarneycaravanpark.com,+353(0)214516519,-8.5461,51.947423,Cork,Blarney,Republic of Ireland,Camping
Lough Ramor Caravan and Camping Park,,353872825976,-7.049428,53.795701,Cavan,Virginia,Republic of Ireland,Camping
Atlantic Caravan Park,http://www.atlanticcaravanpark.com,+353(0)9636132,-9.098574,54.209892,Sligo,Enniscrone,Republic of Ireland,Camping
Glenbeg Caravan Park,,+353(0)669475182,-10.0814964059234,51.7589518737297,Kerry,Caherdaniel,Republic of Ireland,Camping
Woodlands Park,https://www.facebook.com/woodlandstralee,+353(0)667121235,-9.703761,52.261393,Kerry,Tralee,Republic of Ireland,Camping
Sir Rogers Caravan and Camping Park,http://www.sirrogers.com/,+353(0)667134730,-9.82525303823632,52.3402171832763,Kerry,Ardfert,Republic of Ireland,Camping
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520046,Tipperary,Cashel,Republic of Ireland,Camping
Clifden Campsite and Caravan Park,http://www.clifdencamping.com,+353(0)9522150,-10.018164,53.501827,Galway,Clifden,Republic of Ireland,Camping
Bunbeg House,http://www.bunbeghouse.com,+353(0)749531305,-8.309111,55.057886,Donegal,Bunbeg,Republic of Ireland,"B&B,Welcome Standard"
