Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Ards Forest Park - Binngorm Trail,https://www.sportireland.ie/outdoors/walking/trails/ards-forest-park-binngorm-trail,,-7.9282483,55.1500633,Donegal,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Sólás na Mara,https://www.solasnamara.ie/,3535846052,-7.5394444,52.0527777999999,Waterford,Dungarvan,Republic of Ireland,"Food and Drink,Cafe"
Bella & Brava Restaurant,https://bellabravarestaurant.com/,353719306727,-8.6056089,54.1710165999999,Sligo,Coolaney,Ireland,"Food and Drink,Restaurant,Local Produce"
The Adventure Islands,https://www.theadventureisland.com/,353862518252,-9.6308032,53.8278441,Mayo,Westport,Ireland,"Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat"
An File,https://anfile.ie/,3539844949,-9.52450479999999,53.7995345999999,Mayo,Westport,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Trad on the Prom,https://www.tradontheprom.com/,35391582860,-9.08232349999999,53.2590363,Galway,,Ireland,"Traditionally Irish,Venue,Music"
Bansha Wood,https://www.coillte.ie/site/bansha/,+353(0)527441453,-8.06434793204121,52.4482985172907,Tipperary,Bansha,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenshelane Forest Trails,http://www.coillte.ie,,-7.82643444323215,52.1488101303743,Waterford,Cappoquin,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilclooney Wood,http://www.coillte.ie,,-7.42648426141386,52.2034472156374,Waterford,Kilmacthomas,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glengarra Wood,https://www.coillte.ie/site/glengarra/,,-8.0935698172442,52.3248530745509,Tipperary,Burncourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
The East Munster Way,https://www.sportireland.ie/outdoors/walking/trails/east-munster-way,353761065000,-7.40470492454733,52.3471054682275,Tipperary,,Ireland,Walking
The Beara Way,https://bearatourism.com/beara-way,+353(0)2770054,-9.94549254000484,51.7017251046066,Cork,Beara Peninsula,Republic of Ireland,Walking
The Blackwater Way,https://www.activeme.ie/guides/blackwater-way-duhallow-way-and-avondhu-way-entire-route/,35318608800,-8.474305,51.896447,Cork,,Republic of Ireland,Walking
The Dingle Way,https://thedingleway.ie/,,-10.1242982,52.2040594,Kerry,Dingle Peninsula,Ireland,Walking
Beara Way Cycling Route,,+353(0)2821489,-9.94999204762586,51.6956643207193,Cork,Beara Peninsula,Republic of Ireland,Cycling
The Ring of Kerry Cycle Route,,+353(0)646631633,-9.75043931715399,52.1670833699325,Kerry,,Republic of Ireland,Cycling
Sheep’s Head Cycle Route,http://www.thesheepsheadway.ie/index.cfm/page/cyclingroute,+353(0)2767136,-9.70330154820503,51.5814110375101,Cork,Bantry,Republic of Ireland,Cycling
The Burren Way,https://www.sportireland.ie/outdoors/walking/trails/burren-way,,-9.00792473343926,53.0229241422199,Clare,Burren National Park,Ireland,Walking
Knocknarea Mountain,,+353(0)719161201,-8.5740405,54.2586042999999,Sligo,Strandhill,Ireland,Walking
Slish Wood,http://www.irishtrails.ie/trails.aspx?c=Sligo&t=-1&l=-1&g=All&f=All,353719161201,-8.47705702139608,54.2687565564578,Sligo,Sligo Town,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Spink Loop,http://www.npws.ie,+353(0)40469117,-6.32762650277776,53.0093653115907,Wicklow,Wicklow Town,Republic of Ireland,Walking
Fenit Cycleway,,+353(0)667121288,-9.8595306147581,52.2797083924763,Kerry,Fenit,Republic of Ireland,Cycling
The Kerry Head Cycleway,,+353(0)667121288,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,Cycling
Croagh Patrick Heritage Trail,http://www.croaghpatrickheritagetrail.com,+353(0)949360891,-9.13312536081957,53.8089369717232,Mayo,Clogher,Republic of Ireland,Walking
South Leinster Way Kildavin To Borris,http://www.irishtrails.ie/Trail/South-Leinster-Way/33/,,-6.68434856008662,52.6849611962087,Carlow,Kildavin,Republic of Ireland,Walking
Clogher Bog Loop,http://www.clogherheritage.com/,+353(0)949360891,-9.46834728487988,53.8383805362603,Mayo,Clogher,Republic of Ireland,"Walking,Public Park,Nature and Wildlife"
Glencolmcille Loop,https://www.govisitdonegal.com/things-to-do/activities/glencolmcille-tower-loop,,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Activity Operator"
Lettermaghera Loop,http://www.mayo-ireland.com,+353(0)9825711,-9.58770527973092,53.9049903259369,Mayo,Newport,Republic of Ireland,Walking
Cosán na Naomh (The Saint's Road),http://www.irishtrails.ie/Trail/Cosan-na-Naomh--Saints-Road-/370/,,-10.1670098277412,52.1837423739747,Kerry,Dingle Peninsula,Republic of Ireland,Walking
Derrynane Coastal Circuit,,+353(0)646631633,-10.1503778742434,51.7671496543273,Kerry,Derrynane,Republic of Ireland,Walking
Great Blasket Island Looped Walk,,+353(0)669151188,-10.5143759445302,52.1070838806635,Kerry,,Republic of Ireland,Walking
