"Title","Grid Reference","X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)"
"607296.31 , 911848.45","C 07346 11839","207346","411839","54.954248015088005","-7.886098560843707","","Templedouglas ED, Letterkenny, County Donegal, Ireland"
"548318.75 , 640943.05","R 48363 40910","148363","140910","52.51740740615858","-8.761477638695208","","Dunnaman, The Municipal District of Adare — Rathkeale, County Limerick, Munster, V94 CYR6, Ireland"
"678993.6 , 712090.4","N 79049 12063","279049","212063","53.153449122701446","-6.818983201695794","","Lumville Cross, Ballysax East ED, The Municipal District of Kildare — Newbridge, County Kildare, Leinster, W12 HH98, Ireland"
"630336.8 , 599955.37","X 30388 99918","230388","099918","52.1506048326126","-7.556716869999098","","L3019, Mountkennedy, The Municipal District of Dungarvan — Lismore, County Waterford, Munster, Ireland"
"714929.28 , 740960.44","O 14987 40936","314987","240936","53.406249593606034","-6.271496690110685","","Saint Margaret's Road, Dubber ED, Fingal, County Dublin, Leinster, D11 X2NC, Ireland"
"635445.42 , 756679.97","N 35497 56656","235497","256656","53.55882550265791","-7.465021131164098","","Sonna ED, The Municipal District of Athlone — Moate, County Westmeath, Leinster, Ireland"
"669110.41 , 824170.57","H 69165 24153","269165","324153","54.16185656324113","-6.941786934502974","","L25021, Caddagh ED, Ballybay-Clones Municipal District, County Monaghan, Ulster, Ireland"
"707784.79 , 690738.1","T 07842 90709","307842","190709","52.95658133222583","-6.395834170769566","","Clohernagh, Knockrath ED, The Municipal District of Arklow, County Wicklow, Leinster, Ireland"
"527532.69 , 573117.78","W 27575 73077","127575","073077","51.90548080764712","-9.053172278876845","","Kilnamartery, Municipal District of Macroom, County Cork, Munster, P12 W864, Ireland"
"469696.21 , 600519.77","Q 69734 00482","069734","100482","52.14114187839094","-9.903737935154837","","Killorglin ED, Kenmare Municipal District, County Kerry, Munster, Ireland"
"576872.92 , 772072.39","M 76919 72051","176919","272051","53.69783907639697","-8.35022406958465","","Cloonygormican Electoral Division, Roscommon Municipal District, County Roscommon, Connacht, County Roscommon"
"696261.93 , 634655.15","S 96318 34621","296318","134621","52.45485940009588","-6.583683768424467","","Bree ED, The Municipal District of Enniscorthy, County Wexford, Leinster, Y21 TW82, Ireland"
"619420.92 , 775835.13","N 19471 75814","219471","275814","53.73180532558219","-7.705688822935496","","L5158, Ballygarve, Corboy ED, Longford Municipal District, County Longford, Leinster, Ireland"
"680723.14 , 767236.28","N 80779 67214","280779","267214","53.648667049650335","-6.779020292728719","","Ardbraccan ED, The Municipal District of Navan, County Meath, Leinster, C15 P2P8, Ireland"
"638764.82 , 809776.33","H 38816 09758","238816","309758","54.03570846148195","-7.40825084255149","","Derryheen Church of Ireland, Urney Bridge, Carrafin ED, Cavan-Belturbet Municipal District, County Cavan, Ireland"
"680448.23 , 660624.58","S 80504 60592","280504","160592","52.690778048763974","-6.809983872553585","","L7008, Shangarry, Shanganny ED, The Municipal District of Tullow, County Carlow, Leinster, Ireland"
"504948.11 , 797843.38","M 04989 97824","104989","297824","53.92121657310258","-9.447075849775361","","Glenhest Electoral Division, Westport-Belmullet Municipal District, County Mayo, Connacht, F28 C827, Ireland"
"705050.25 , 796448.45","O 05108 96429","305108","296429","53.90675583589055","-6.401255214138872","","Commons Road, Dromiskin ED, The Municipal District of Dundalk, County Louth, Leinster, A91 RW01, Ireland"
"557897.46 , 827219.69","G 57943 27203","157943","327203","54.19217570807448","-8.64514606920903","","Baywatch, Seevness, Coolaney ED, Ballymote-Tubbercurry Municipal District, County Sligo, Connacht, F56 VA03, Ireland"
"599762.02 , 821266.52","G 99811 21249","199811","321249","54.14041123043702","-8.00364231060082","","Drumreilly West Electoral Division, Ballinamore Municipal District, County Leitrim, Connacht, Ireland"
"647885.56 , 646646.11","S 47938 46613","247938","146613","52.56900961894259","-7.293639897561366","","Burnchurch, The Municipal District of Callan — Thomastown, County Kilkenny, Leinster, R95 RF25, Ireland"
"631261.72 , 709672.35","N 31313 09645","231313","209645","53.13665710516461","-7.532809850275826","","L10051, Clonaslee ED, The Municipal District of Borris-in-Ossory — Mountmellick, County Laois, Leinster, Ireland"
"644908.26 , 694308.36","S 44961 94280","244961","194280","52.99761014637517","-7.331013692880072","","L66981, Clonkeen ED, The Municipal District of Portlaoise, County Laois, Leinster, R32 V97T, Ireland"
"524511.96 , 732839.34","M 24554 32814","124554","232814","53.34039351517015","-9.133557292440747","","L5372, Moycullen ED, Conamara Municipal District, County Galway, Connacht, H91 KP49, Ireland"
"605191.54 , 659297.87","S 05240 59265","205240","159265","52.684798962384406","-7.9232247774506135","","Castle Fogarty, R503, Ballycahill, The Municipal District of Thurles, County Tipperary, Munster, Ireland"
"524790.2 , 680078.02","R 24833 80048","124833","180048","52.86634573448092","-9.117017393079621","","Ballyea ED, West Clare Municipal District, County Clare, Munster, V95 XY92, Ireland"
