id,Station,Divisions,x,y,Year,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime",Lat,Long
201,Pearse Street, D.M.R. South Central,316180,234222,2003,0,171,1,241,726,5301,171,209,79,614,2670,126,53.3457,-6.25627
203,Dun Laoghaire, D.M.R. Eastern,324528,228221,2003,0,48,1,41,513,1070,27,136,12,369,612,80,53.28992,-6.13335
204,Kilmainham, D.M.R. South Central,312994,233718,2003,0,99,2,46,306,758,14,79,24,380,392,270,53.34187,-6.30427
205,Donnybrook, D.M.R. South Central,317602,231588,2003,0,88,0,53,385,905,23,40,19,274,337,27,53.32173,-6.23591
206,Irishtown, D.M.R. South Central,318394,233446,2003,0,37,0,28,308,591,16,19,7,232,144,19,53.33824,-6.22333
207,Crumlin, D.M.R. Southern,312337,231220,2003,0,53,0,31,300,533,20,80,22,436,177,26,53.31957,-6.31501
208,Sundrive Road, D.M.R. Southern,313394,232428,2003,0,75,0,50,284,596,15,104,33,332,248,38,53.3302,-6.29872
209,Ballyfermot, D.M.R. Western,309409,233956,2003,0,64,0,51,190,662,10,124,18,476,360,72,53.34476,-6.35798
2010,Lucan, D.M.R. Western,303209,235075,2003,0,90,4,21,251,798,17,15,11,321,210,17,53.35605,-6.45067
2011,Leixlip, Kildare,300015,236268,2003,0,23,1,13,108,235,8,7,11,139,402,12,53.36738,-6.49825
2012,Clondalkin, D.M.R. Western,307001,231495,2003,0,70,0,54,354,846,59,82,25,458,227,71,53.32314,-6.39495
2013,Ronanstown, D.M.R. Western,306227,233120,2003,0,43,2,45,203,938,16,99,39,347,213,142,53.3379,-6.40602
2014,Rathcoole, D.M.R. Western,302452,226791,2003,0,20,0,13,136,236,5,5,6,60,32,2,53.28179,-6.46471
2015,Rathfarnham, D.M.R. Southern,314186,228794,2003,0,115,2,52,374,883,27,86,17,437,350,59,53.29739,-6.28815
2016,Tallaght, D.M.R. Southern,308900,227492,2003,0,200,3,110,372,1802,58,367,69,987,624,393,53.28681,-6.36784
2017,Rathmines, D.M.R. Southern,315531,231491,2003,0,42,0,38,489,832,15,41,12,286,424,31,53.32132,-6.26701
2018,Terenure, D.M.R. Southern,314161,230177,2003,0,68,0,37,293,479,7,33,7,248,128,16,53.30981,-6.28803
