STATISTIC,Statistic Label,TLIST(A1),Academic Year,C02352V02829,Level of Education,UNIT,VALUE
EDA37,Enrolments of Full-Time Students,1966,1965-1966,-,All levels of education,Number,638298
EDA37,Enrolments of Full-Time Students,1966,1965-1966,104,First level,Number,481095
EDA37,Enrolments of Full-Time Students,1966,1965-1966,23,Second level,Number,138754
EDA37,Enrolments of Full-Time Students,1966,1965-1966,4,Third level,Number,18449
EDA37,Enrolments of Full-Time Students,1966,1965-1966,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1967,1966-1967,-,All levels of education,Number,652844
EDA37,Enrolments of Full-Time Students,1967,1966-1967,104,First level,Number,486095
EDA37,Enrolments of Full-Time Students,1967,1966-1967,23,Second level,Number,147648
EDA37,Enrolments of Full-Time Students,1967,1966-1967,4,Third level,Number,19101
EDA37,Enrolments of Full-Time Students,1967,1966-1967,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1968,1967-1968,-,All levels of education,Number,670382
EDA37,Enrolments of Full-Time Students,1968,1967-1968,104,First level,Number,484212
EDA37,Enrolments of Full-Time Students,1968,1967-1968,23,Second level,Number,166544
EDA37,Enrolments of Full-Time Students,1968,1967-1968,4,Third level,Number,19626
EDA37,Enrolments of Full-Time Students,1968,1967-1968,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1969,1968-1969,-,All levels of education,Number,692860
EDA37,Enrolments of Full-Time Students,1969,1968-1969,104,First level,Number,489559
EDA37,Enrolments of Full-Time Students,1969,1968-1969,23,Second level,Number,182298
EDA37,Enrolments of Full-Time Students,1969,1968-1969,4,Third level,Number,21003
EDA37,Enrolments of Full-Time Students,1969,1968-1969,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1970,1969-1970,-,All levels of education,Number,712928
EDA37,Enrolments of Full-Time Students,1970,1969-1970,104,First level,Number,496429
EDA37,Enrolments of Full-Time Students,1970,1969-1970,23,Second level,Number,193914
EDA37,Enrolments of Full-Time Students,1970,1969-1970,4,Third level,Number,22585
EDA37,Enrolments of Full-Time Students,1970,1969-1970,X45,Post leaving certificate courses (VPT2),Number,
EDA37,Enrolments of Full-Time Students,1971,1970-1971,-,All levels of education,Number,732214
EDA37,Enrolments of Full-Time Students,1971,1970-1971,104,First level,Number,502664
EDA37,Enrolments of Full-Time Students,1971,1970-1971,23,Second level,Number,205136
EDA37,Enrolments of Full-Time Students,1971,1970-1971,4,Third level,Number,24414
EDA37,Enrolments of Full-Time Students,1971,1970-1971,X45,Post leaving certificate courses (VPT2),Number,
