Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Center Parcs Longford Forest,http://centerparcs.ie/discover-center-parcs/holiday-locations/longford-forest.html,3.53E+12,-7.706019282,53.55140681,Longford,Newcastle,Republic of Ireland,Activity Holiday Accommodation
Grovemount House,https://www.grovemount-ennistymon.com/,+353(0)657071431,-9.303594,52.939705,Clare,Ennistymon,Republic of Ireland,B&B
Moloney House,http://www.moloneyhouse.ie,+353(0)871250303,-9.382853519,53.01365572,Clare,Doolin,Republic of Ireland,B&B
Coolanowle Country House,http://www.coolanowle.com,+353(0)598625176,-7.030013,52.907833,Carlow,,Republic of Ireland,B&B
Ballinsheen House & Gardens,http://www.ballinsheen.com,+353(0)657074806,-9.287852,53.034389,Clare,Lisdoonvarna,Republic of Ireland,B&B
Fortview House,http://www.fortview.com,+353(0)494338834,-7.340481,54.074129,Cavan,Cloverhill,Republic of Ireland,B&B
The Manse,http://www.cootehilltourism.com,3.53E+11,-7.084248,54.074193,Cavan,Cootehill,Republic of Ireland,B&B
Park House,http://www.parkhouse.ie,+353(0)61369902,-8.810057,52.706119,Clare,Bunratty,Republic of Ireland,B&B
Innisfree,http://www.innisfreebunratty.com,+353(0)61369773,-8.8084,52.710139,Clare,Bunratty,Republic of Ireland,B&B
Avarest,http://www.avarest.ie,+353(0)61360278,-8.843797,52.715778,Clare,Hurlers Cross,Republic of Ireland,B&B
Gallows View,http://www.bunratty-gallowsview.com,+353(0)61369125,-8.810918,52.716073,Clare,Bunratty,Republic of Ireland,B&B
Glencarrig,https://www.facebook.com/glencarrig,+353(0)659058209,-9.721323,52.592004,Clare,Carrigaholt,Republic of Ireland,B&B
Lakefield Lodge,http://www.lakefieldlodgebandb.com,+353(0)656837675,-9.061977,52.939716,Clare,Corofin,Republic of Ireland,B&B
Inchiquin View,https://www.facebook.com/inchiquinview.farmhouse,+353(0)656837731,-9.09143,52.972322,Clare,Kilnaboy,Republic of Ireland,B&B
Churchfield,http://www.doolinaccommodations.com,+353(0)657074209,-9.371226,53.019892,Clare,Doolin,Republic of Ireland,B&B
Riverdale Farmhouse,http://www.riverdaledoolin.com,+353(0)657074257,-9.347061,53.023344,Clare,Doolin,Republic of Ireland,B&B
Glasha Meadows,http://www.glashameadows.com,+353(0)657074443,-9.361815,53.033792,Clare,Doolin,Republic of Ireland,B&B
Doonagore Farmhouse,http://www.doolin-accommodation.com,+353(0)657074170,-9.388619,52.998352,Clare,Doolin,Republic of Ireland,B&B
Glen Cove,http://www.glencove.clareireland.net,+353(0)656824561,-8.945913,52.820018,Clare,Clarecastle,Republic of Ireland,B&B
Station House,http://stationhouse-bb.com,+353(0)657071149,-9.287932,52.936561,Clare,Ennistymon,Republic of Ireland,B&B
Crosswinds,http://www.crosswinds-lisdoonvarna.com,+353(0)657074469,-9.320519967,53.01677691,Clare,Lisdoonvarna,Republic of Ireland,B&B
An Gleann,http://www.angleann.net,+353(0)657084281,-9.382559,52.847555,Clare,,Republic of Ireland,B&B
Scapaflow,http://www.clare.ie/stay/scapaflow-bb/,35361377144,-8.5039871,52.7528811,Clare,Killaloe,Ireland,B&B
Clonmore Lodge,http://www.clonmorelodge.com,+353(0)657087020,-9.455001,52.799763,Clare,Quilty,Republic of Ireland,B&B
Channel View,http://www.channelviewbb.com,+353(0)2820440,-9.357086,51.484705,Cork,Baltimore,Republic of Ireland,B&B
Rathmore House,http://www.baltimorebb.com,+353(0)2820362,-9.342825,51.512831,Cork,Baltimore,Republic of Ireland,B&B
Ashgrove House,http://www.ashgrovebedandbreakfast.com,+353(0)238841033,-8.749268,51.743089,Cork,Bandon,Republic of Ireland,B&B
Doire Liath,http://www.bantrybedandbreakfasts.com/,+353(0)2750223,-9.446768,51.685186,Cork,Newtown,Republic of Ireland,B&B
Sea Mount B&B,http://www.seamountfarm.com,+353(0)2761226,-9.624338,51.633241,Cork,Bantry,Republic of Ireland,B&B
Lanesville,http://www.lanesvillebandb.com,+353(0)214381813,-8.549303,51.921502,Cork,Blarney,Republic of Ireland,B&B
