Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Ards Forest Park  Binngorm Trail,-7.9282483,55.1500633,Donegal,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Salais na Mara,-7.5394444,52.0527778,Waterford,Dungarvan,Republic of Ireland,"Food and Drink,Cafe"
Bella  Brava Restaurant,-8.6056089,54.1710166,Sligo,Coolaney,Ireland,"Food and Drink,Restaurant,Local Produce"
The Adventure Islands,-9.6308032,53.8278441,Mayo,Westport,Ireland,"Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat"
An File,-9.5245048,53.7995346,Mayo,Westport,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Trad on the Prom,-9.0823235,53.2590363,Galway,,Ireland,"Traditionally Irish,Venue,Music"
Bansha Wood,-8.064347932,52.44829852,Tipperary,Bansha,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glenshelane Forest Trails,-7.826434443,52.14881013,Waterford,Cappoquin,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Kilclooney Wood,-7.426484261,52.20344722,Waterford,Kilmacthomas,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Glengarra Wood,-8.093569817,52.32485307,Tipperary,Burncourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
The East Munster Way,-7.404704925,52.34710547,Tipperary,,Ireland,Walking
The Beara Way,-9.94549254,51.7017251,Cork,Beara Peninsula,Republic of Ireland,Walking
The Blackwater Way,-8.474305,51.896447,Cork,,Republic of Ireland,Walking
The Dingle Way,-10.1242982,52.2040594,Kerry,Dingle Peninsula,Ireland,Walking
Beara Way Cycling Route,-9.949992048,51.69566432,Cork,Beara Peninsula,Republic of Ireland,Cycling
The Ring of Kerry Cycle Route,-9.750439317,52.16708337,Kerry,,Republic of Ireland,Cycling
Sheepas Head Cycle Route,-9.703301548,51.58141104,Cork,Bantry,Republic of Ireland,Cycling
The Burren Way,-9.007924733,53.02292414,Clare,Burren National Park,Ireland,Walking
Knocknarea Mountain,-8.5740405,54.2586043,Sligo,Strandhill,Ireland,Walking
Slish Wood,-8.477057021,54.26875656,Sligo,Sligo Town,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Spink Loop,-6.327626503,53.00936531,Wicklow,Wicklow Town,Republic of Ireland,Walking
Fenit Cycleway,-9.859530615,52.27970839,Kerry,Fenit,Republic of Ireland,Cycling
The Kerry Head Cycleway,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,Cycling
Croagh Patrick Heritage Trail,-9.133125361,53.80893697,Mayo,Clogher,Republic of Ireland,Walking
South Leinster Way Kildavin To Borris,-6.68434856,52.6849612,Carlow,Kildavin,Republic of Ireland,Walking
Clogher Bog Loop,-9.468347285,53.83838054,Mayo,Clogher,Republic of Ireland,"Walking,Public Park,Nature and Wildlife"
Glencolmcille Loop,-8.7147757,54.69970306,Donegal,Glencolmcille,Republic of Ireland,"Walking,Activity Operator"
Lettermaghera Loop,-9.58770528,53.90499033,Mayo,Newport,Republic of Ireland,Walking
Cosain na Naomh The Saints Road,-10.16700983,52.18374237,Kerry,Dingle Peninsula,Republic of Ireland,Walking
