Name,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Dwyer McAllister Cottage,35340445325,-6.5648108,52.9619268999999,Wicklow,Donard,Ireland,"Historic Houses and Castle,Museums and Attraction"
Valentia Island - Kerry,,-10.3624787374577,51.9057706613253,Kerry,,Republic of Ireland,"Restaurant,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cruising,Cycling,Fishing,Angling,Gardening,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Photography,Learning,Sailing,Swimming,Swimming Pools and Water Park,Venue,Walking,Historic Houses and Castle,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink,Local Produce,Pubs and Bar,Seafood"
The Wicklow Way,,-6.2683925,53.2773496,Dublin,Rathfarnham,Ireland,"Cycling,Walking,Natural Landscape"
The Tain Way,+353(0)429373033,-6.39708,54.004607,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Walking - The Western Way Galway,+353(0)9541116,-9.048728,53.276473,Galway,Galway City,Republic of Ireland,"Walking,Natural Landscape"
The Offaly Way,,-7.67019277587894,53.1384854207371,Offaly,Cadamstown,Republic of Ireland,"Walking,Natural Landscape"
The Barrow Way,35345521240,-6.99618322113859,53.2219355188289,Kildare,,Republic of Ireland,"Walking,Natural Landscape"
Dun na Ri Forest Park,353494331942,-6.79266149999999,53.9189778,Cavan,Kingscourt,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Tipperary Heritage Way,3536255467,-7.88582982915318,52.516411290825,Tipperary,Tipperary Town,Republic of Ireland,"Walking,Natural Landscape"
The Blackwater Way - Duhallow,+353(0)5850007,-8.59674002276804,51.9443213753579,Cork,,Republic of Ireland,"Walking,Natural Landscape"
The Mid Clare Way,353656835912,-8.8990055,52.7606678,Clare,Newmarket,Ireland,"Walking,Natural Landscape"
The North Kerry Way,+353(0)667121288,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,"Walking,Natural Landscape"
Bray to Greystones Walk,35340469117,-6.043428,52.98086,Wicklow,Wicklow Town,Republic of Ireland,"Walking,Natural Landscape"
The South Leinster Way,,-6.92880990423212,52.6020792718812,Carlow,Borris,Republic of Ireland,"Walking,Natural Landscape"
Brandon Hill Loop,+353(0)567763995,-6.9555078142223,52.5408705206418,Kilkenny,Graiguenamanagh,Republic of Ireland,"Walking,Natural Landscape"
Muckross Lake Loop and Torc Waterfall,,-9.5042922,52.0180827,Kerry,Killarney,Ireland,"Walking,National Park,National and Forest Park"
The Westmeath Way,,-7.31712,53.525,Westmeath,Kilbeggan,Republic of Ireland,"Walking,Natural Landscape"
Listowel River Walk,,-9.48392527411675,52.4471201192782,Kerry,Listowel,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Public Park,Nature and Wildlife,Public Sculpture"
Ballybunion Walking the Beach Looped Walk,+353(0)667121288,-9.67172770562618,52.5235018831357,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Cliff Walk,,-9.67172804668427,52.5235108653928,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Lahardane Walk,+353(0)667121288,-9.65311650720219,52.5081260316832,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow - Old Mill Loop,,-7.52564375817589,53.1497079212292,Laois,Clonaslee,Republic of Ireland,"Walking,Natural Landscape"
Rosses Point Coastal Walk,,-8.55710770852084,54.3083457216238,Sligo,Rosses Point,Republic of Ireland,"Walking,Natural Landscape,Public Sculpture"
Balrath Wood,+353(0)18358022,-6.95231592323352,53.7055705311591,Meath,Balrath,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Castlemorris - Fern Loop,,-7.21281944384092,52.4839888651012,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Piltown - Mountain Grove Loop,+353(0)567752111,-7.34111359480207,52.3537317834319,Kilkenny,,Ireland,"Walking,Natural Landscape"
Drewstown Woods - Girley Bog Loop,+353(0)469248856,-6.93338233325073,53.6740628176121,Meath,Kells,Ireland,"Walking,Natural Landscape"
Fawnglass Loop,,-9.9881419536732,53.7924554847732,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Lough Coolaknick Loop,,-10.1066283319689,53.7034637529079,Mayo,Inishturk,Republic of Ireland,"Walking,Island,Offshore Island"
Rath Beag Loop,,-7.5833235,52.3136617999999,Waterford,,Ireland,"Walking,Natural Landscape"
Lough Mohra Loop,,-7.58628264054004,52.3198744373685,Waterford,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Glanageenty Loop,,-9.45894969585576,52.2329715133028,Kerry,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Jenkinstown Wood - Walled Garden Loop,,-7.28980498656721,52.7305068893433,Kilkenny,Jenkinstown,Ireland,"Walking,Gardens,Garden,Natural Landscape"
Jenkinstown Wood Loop,,-7.28448348388166,52.7311695788291,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Crone Woods - Maulin Mountain Loop,,-6.217855,53.165044,Wicklow,,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Donadea Forest Park - Aylmer Loop,,-6.77292302671348,53.328444456581,Kildare,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Castlecomer - Captains Loop,,-7.20340021430831,52.8085313904992,Kilkenny,Castlecomer,Ireland,"Walking,Natural Landscape"
Achill Cycle Hub,+353(0)9847353,-9.99073259547387,53.9626100660387,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Glanteenassig Wood,+353(0)667163378,-10.029291257227,52.2057091344992,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Commons Loop,+353(0)429373033,-6.18602350592071,54.0379000768116,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Slieve Foye Loop,+353(0)429373033,-6.18602350592071,54.0379000768116,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Clogrennane Wood Loop,,-6.96704855641666,52.7390557031802,Carlow,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Mangans Loop,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Walking,Natural Landscape"
Ballycumber Loop,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Kyle Loop,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Druids Loop,,-9.53664263940208,51.8160127296,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Fionn MacCool Loop,,-9.53664263940208,51.8160127296,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Cailleach Beara Loop- Bonane Beara,,-9.53840299999999,51.8155082,Kerry,Bonane,Ireland,"Walking,Natural Landscape"
Sli an Earagail,353479721148,-7.73671587256198,54.9511565041299,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Sli Cholmcille,+353(0)749721148,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Natural Landscape"
Sli Na Finne,+353(0)749721148,-8.1162042430152,54.8694215846037,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Sli na Rosann,+353(0)749721148,-8.3633753917632,54.9517634921175,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
The Western Way (Mayo),,-9.63915735447483,53.6475566101385,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Freshford Loop,,-7.39974116938163,52.7345016288219,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Nore Valley Walk (Kilkenny to Bennettsbridge section),+353(0)860485553,-7.22997132879709,52.6450794674924,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
