"STATISTIC CODE","Statistic","TLIST(A1)","Year","C02343V02817","Area","UNIT","VALUE"
"HSA06C1","New House Prices","1975","1975","-","National","Euro","13254"
"HSA06C1","New House Prices","1975","1975","01","Dublin","Euro","13137"
"HSA06C1","New House Prices","1975","1975","02","Cork","Euro","12921"
"HSA06C1","New House Prices","1975","1975","03","Galway","Euro","14420"
"HSA06C1","New House Prices","1975","1975","04","Limerick","Euro","13594"
"HSA06C1","New House Prices","1975","1975","05","Waterford","Euro","12636"
"HSA06C1","New House Prices","1975","1975","06","Other areas","Euro","13833"
"HSA06C1","New House Prices","1976","1976","-","National","Euro","15564"
"HSA06C1","New House Prices","1976","1976","01","Dublin","Euro","15342"
"HSA06C1","New House Prices","1976","1976","02","Cork","Euro","15347"
"HSA06C1","New House Prices","1976","1976","03","Galway","Euro","17842"
"HSA06C1","New House Prices","1976","1976","04","Limerick","Euro","15279"
"HSA06C1","New House Prices","1976","1976","05","Waterford","Euro","13900"
"HSA06C1","New House Prices","1976","1976","06","Other areas","Euro","15361"
"HSA06C1","New House Prices","1977","1977","-","National","Euro","18754"
"HSA06C1","New House Prices","1977","1977","01","Dublin","Euro","19055"
"HSA06C1","New House Prices","1977","1977","02","Cork","Euro","18652"
"HSA06C1","New House Prices","1977","1977","03","Galway","Euro","21715"
"HSA06C1","New House Prices","1977","1977","04","Limerick","Euro","19992"
"HSA06C1","New House Prices","1977","1977","05","Waterford","Euro","17296"
"HSA06C1","New House Prices","1977","1977","06","Other areas","Euro","18025"
"HSA06C1","New House Prices","1978","1978","-","National","Euro","24082"
"HSA06C1","New House Prices","1978","1978","01","Dublin","Euro","25745"
"HSA06C1","New House Prices","1978","1978","02","Cork","Euro","22460"
"HSA06C1","New House Prices","1978","1978","03","Galway","Euro","26244"
"HSA06C1","New House Prices","1978","1978","04","Limerick","Euro","23077"
"HSA06C1","New House Prices","1978","1978","05","Waterford","Euro","21295"
"HSA06C1","New House Prices","1978","1978","06","Other areas","Euro","22839"
"HSA06C1","New House Prices","1979","1979","-","National","Euro","29387"
"HSA06C1","New House Prices","1979","1979","01","Dublin","Euro","32005"
"HSA06C1","New House Prices","1979","1979","02","Cork","Euro","29064"
"HSA06C1","New House Prices","1979","1979","03","Galway","Euro","30466"
"HSA06C1","New House Prices","1979","1979","04","Limerick","Euro","30538"
"HSA06C1","New House Prices","1979","1979","05","Waterford","Euro","27164"
"HSA06C1","New House Prices","1979","1979","06","Other areas","Euro","27137"
"HSA06C1","New House Prices","1980","1980","-","National","Euro","34967"
"HSA06C1","New House Prices","1980","1980","01","Dublin","Euro","37822"
"HSA06C1","New House Prices","1980","1980","02","Cork","Euro","34617"
"HSA06C1","New House Prices","1980","1980","03","Galway","Euro","33839"
"HSA06C1","New House Prices","1980","1980","04","Limerick","Euro","34340"
"HSA06C1","New House Prices","1980","1980","05","Waterford","Euro","32136"
"HSA06C1","New House Prices","1980","1980","06","Other areas","Euro","32663"
"HSA06C1","New House Prices","1981","1981","-","National","Euro","40167"
"HSA06C1","New House Prices","1981","1981","01","Dublin","Euro","44456"
"HSA06C1","New House Prices","1981","1981","02","Cork","Euro","35464"
"HSA06C1","New House Prices","1981","1981","03","Galway","Euro","39729"
"HSA06C1","New House Prices","1981","1981","04","Limerick","Euro","41520"
"HSA06C1","New House Prices","1981","1981","05","Waterford","Euro","34638"
"HSA06C1","New House Prices","1981","1981","06","Other areas","Euro","37857"
"HSA06C1","New House Prices","1982","1982","-","National","Euro","44060"
"HSA06C1","New House Prices","1982","1982","01","Dublin","Euro","48886"
"HSA06C1","New House Prices","1982","1982","02","Cork","Euro","38213"
"HSA06C1","New House Prices","1982","1982","03","Galway","Euro","45460"
"HSA06C1","New House Prices","1982","1982","04","Limerick","Euro","40195"
"HSA06C1","New House Prices","1982","1982","05","Waterford","Euro","41741"
"HSA06C1","New House Prices","1982","1982","06","Other areas","Euro","42889"
"HSA06C1","New House Prices","1983","1983","-","National","Euro","44448"
"HSA06C1","New House Prices","1983","1983","01","Dublin","Euro","48169"
"HSA06C1","New House Prices","1983","1983","02","Cork","Euro","39223"
"HSA06C1","New House Prices","1983","1983","03","Galway","Euro","45650"
"HSA06C1","New House Prices","1983","1983","04","Limerick","Euro","41430"
"HSA06C1","New House Prices","1983","1983","05","Waterford","Euro","42132"
"HSA06C1","New House Prices","1983","1983","06","Other areas","Euro","43501"
"HSA06C1","New House Prices","1984","1984","-","National","Euro","45419"
"HSA06C1","New House Prices","1984","1984","01","Dublin","Euro","48819"
"HSA06C1","New House Prices","1984","1984","02","Cork","Euro","41105"
"HSA06C1","New House Prices","1984","1984","03","Galway","Euro","45774"
"HSA06C1","New House Prices","1984","1984","04","Limerick","Euro","42944"
"HSA06C1","New House Prices","1984","1984","05","Waterford","Euro","44115"
"HSA06C1","New House Prices","1984","1984","06","Other areas","Euro","43654"
"HSA06C1","New House Prices","1985","1985","-","National","Euro","46542"
"HSA06C1","New House Prices","1985","1985","01","Dublin","Euro","49166"
"HSA06C1","New House Prices","1985","1985","02","Cork","Euro","42738"
"HSA06C1","New House Prices","1985","1985","03","Galway","Euro","49004"
"HSA06C1","New House Prices","1985","1985","04","Limerick","Euro","44511"
"HSA06C1","New House Prices","1985","1985","05","Waterford","Euro","43741"
"HSA06C1","New House Prices","1985","1985","06","Other areas","Euro","45058"
"HSA06C1","New House Prices","1986","1986","-","National","Euro","48256"
"HSA06C1","New House Prices","1986","1986","01","Dublin","Euro","50891"
"HSA06C1","New House Prices","1986","1986","02","Cork","Euro","43844"
"HSA06C1","New House Prices","1986","1986","03","Galway","Euro","49804"
"HSA06C1","New House Prices","1986","1986","04","Limerick","Euro","47222"
"HSA06C1","New House Prices","1986","1986","05","Waterford","Euro","47928"
"HSA06C1","New House Prices","1986","1986","06","Other areas","Euro","46486"
"HSA06C1","New House Prices","1987","1987","-","National","Euro","48151"
"HSA06C1","New House Prices","1987","1987","01","Dublin","Euro","50864"
"HSA06C1","New House Prices","1987","1987","02","Cork","Euro","45846"
"HSA06C1","New House Prices","1987","1987","03","Galway","Euro","48162"
"HSA06C1","New House Prices","1987","1987","04","Limerick","Euro","46946"
"HSA06C1","New House Prices","1987","1987","05","Waterford","Euro","46966"
"HSA06C1","New House Prices","1987","1987","06","Other areas","Euro","45740"
"HSA06C1","New House Prices","1988","1988","-","National","Euro","52450"
"HSA06C1","New House Prices","1988","1988","01","Dublin","Euro","57994"
"HSA06C1","New House Prices","1988","1988","02","Cork","Euro","49605"
"HSA06C1","New House Prices","1988","1988","03","Galway","Euro","52238"
"HSA06C1","New House Prices","1988","1988","04","Limerick","Euro","53296"
"HSA06C1","New House Prices","1988","1988","05","Waterford","Euro","47531"
"HSA06C1","New House Prices","1988","1988","06","Other areas","Euro","47380"
"HSA06C1","New House Prices","1989","1989","-","National","Euro","58178"
"HSA06C1","New House Prices","1989","1989","01","Dublin","Euro","68393"
"HSA06C1","New House Prices","1989","1989","02","Cork","Euro","54670"
"HSA06C1","New House Prices","1989","1989","03","Galway","Euro","57936"
"HSA06C1","New House Prices","1989","1989","04","Limerick","Euro","54732"
"HSA06C1","New House Prices","1989","1989","05","Waterford","Euro","50506"
"HSA06C1","New House Prices","1989","1989","06","Other areas","Euro","51355"
"HSA06C1","New House Prices","1990","1990","-","National","Euro","65541"
"HSA06C1","New House Prices","1990","1990","01","Dublin","Euro","80749"
"HSA06C1","New House Prices","1990","1990","02","Cork","Euro","61074"
"HSA06C1","New House Prices","1990","1990","03","Galway","Euro","68019"
"HSA06C1","New House Prices","1990","1990","04","Limerick","Euro","62258"
"HSA06C1","New House Prices","1990","1990","05","Waterford","Euro","53904"
"HSA06C1","New House Prices","1990","1990","06","Other areas","Euro","55729"
"HSA06C1","New House Prices","1991","1991","-","National","Euro","66914"
"HSA06C1","New House Prices","1991","1991","01","Dublin","Euro","78715"
"HSA06C1","New House Prices","1991","1991","02","Cork","Euro","64651"
"HSA06C1","New House Prices","1991","1991","03","Galway","Euro","66784"
"HSA06C1","New House Prices","1991","1991","04","Limerick","Euro","64598"
"HSA06C1","New House Prices","1991","1991","05","Waterford","Euro","53366"
"HSA06C1","New House Prices","1991","1991","06","Other areas","Euro","58645"
"HSA06C1","New House Prices","1992","1992","-","National","Euro","69264"
"HSA06C1","New House Prices","1992","1992","01","Dublin","Euro","79200"
"HSA06C1","New House Prices","1992","1992","02","Cork","Euro","65107"
"HSA06C1","New House Prices","1992","1992","03","Galway","Euro","75417"
"HSA06C1","New House Prices","1992","1992","04","Limerick","Euro","60184"
"HSA06C1","New House Prices","1992","1992","05","Waterford","Euro","52656"
"HSA06C1","New House Prices","1992","1992","06","Other areas","Euro","62433"
"HSA06C1","New House Prices","1993","1993","-","National","Euro","69883"
"HSA06C1","New House Prices","1993","1993","01","Dublin","Euro","75539"
"HSA06C1","New House Prices","1993","1993","02","Cork","Euro","68172"
"HSA06C1","New House Prices","1993","1993","03","Galway","Euro","74761"
"HSA06C1","New House Prices","1993","1993","04","Limerick","Euro","66825"
"HSA06C1","New House Prices","1993","1993","05","Waterford","Euro","61341"
"HSA06C1","New House Prices","1993","1993","06","Other areas","Euro","65025"
"HSA06C1","New House Prices","1994","1994","-","National","Euro","72732"
"HSA06C1","New House Prices","1994","1994","01","Dublin","Euro","81993"
"HSA06C1","New House Prices","1994","1994","02","Cork","Euro","71378"
"HSA06C1","New House Prices","1994","1994","03","Galway","Euro","77375"
"HSA06C1","New House Prices","1994","1994","04","Limerick","Euro","68238"
"HSA06C1","New House Prices","1994","1994","05","Waterford","Euro","69185"
"HSA06C1","New House Prices","1994","1994","06","Other areas","Euro","66829"
"HSA06C1","New House Prices","1995","1995","-","National","Euro","77994"
"HSA06C1","New House Prices","1995","1995","01","Dublin","Euro","86671"
"HSA06C1","New House Prices","1995","1995","02","Cork","Euro","76608"
"HSA06C1","New House Prices","1995","1995","03","Galway","Euro","87783"
"HSA06C1","New House Prices","1995","1995","04","Limerick","Euro","73348"
"HSA06C1","New House Prices","1995","1995","05","Waterford","Euro","69950"
"HSA06C1","New House Prices","1995","1995","06","Other areas","Euro","71829"
"HSA06C1","New House Prices","1996","1996","-","National","Euro","87202"
"HSA06C1","New House Prices","1996","1996","01","Dublin","Euro","97058"
"HSA06C1","New House Prices","1996","1996","02","Cork","Euro","85351"
"HSA06C1","New House Prices","1996","1996","03","Galway","Euro","93050"
"HSA06C1","New House Prices","1996","1996","04","Limerick","Euro","83281"
"HSA06C1","New House Prices","1996","1996","05","Waterford","Euro","79784"
"HSA06C1","New House Prices","1996","1996","06","Other areas","Euro","82091"
"HSA06C1","New House Prices","1997","1997","-","National","Euro","102222"
"HSA06C1","New House Prices","1997","1997","01","Dublin","Euro","122036"
"HSA06C1","New House Prices","1997","1997","02","Cork","Euro","96046"
"HSA06C1","New House Prices","1997","1997","03","Galway","Euro","109905"
"HSA06C1","New House Prices","1997","1997","04","Limerick","Euro","91077"
"HSA06C1","New House Prices","1997","1997","05","Waterford","Euro","91608"
"HSA06C1","New House Prices","1997","1997","06","Other areas","Euro","94664"
"HSA06C1","New House Prices","1998","1998","-","National","Euro","125302"
"HSA06C1","New House Prices","1998","1998","01","Dublin","Euro","160699"
"HSA06C1","New House Prices","1998","1998","02","Cork","Euro","112133"
"HSA06C1","New House Prices","1998","1998","03","Galway","Euro","118738"
"HSA06C1","New House Prices","1998","1998","04","Limerick","Euro","104248"
"HSA06C1","New House Prices","1998","1998","05","Waterford","Euro","107954"
"HSA06C1","New House Prices","1998","1998","06","Other areas","Euro","116589"
"HSA06C1","New House Prices","1999","1999","-","National","Euro","148521"
"HSA06C1","New House Prices","1999","1999","01","Dublin","Euro","193526"
"HSA06C1","New House Prices","1999","1999","02","Cork","Euro","141007"
"HSA06C1","New House Prices","1999","1999","03","Galway","Euro","138928"
"HSA06C1","New House Prices","1999","1999","04","Limerick","Euro","121880"
"HSA06C1","New House Prices","1999","1999","05","Waterford","Euro","132050"
"HSA06C1","New House Prices","1999","1999","06","Other areas","Euro","136970"
"HSA06C1","New House Prices","2000","2000","-","National","Euro","169191"
"HSA06C1","New House Prices","2000","2000","01","Dublin","Euro","221724"
"HSA06C1","New House Prices","2000","2000","02","Cork","Euro","166557"
"HSA06C1","New House Prices","2000","2000","03","Galway","Euro","163824"
"HSA06C1","New House Prices","2000","2000","04","Limerick","Euro","145834"
"HSA06C1","New House Prices","2000","2000","05","Waterford","Euro","145713"
"HSA06C1","New House Prices","2000","2000","06","Other areas","Euro","154050"
"HSA06C1","New House Prices","2001","2001","-","National","Euro","182863"
"HSA06C1","New House Prices","2001","2001","01","Dublin","Euro","243095"
"HSA06C1","New House Prices","2001","2001","02","Cork","Euro","174550"
"HSA06C1","New House Prices","2001","2001","03","Galway","Euro","171161"
"HSA06C1","New House Prices","2001","2001","04","Limerick","Euro","152205"
"HSA06C1","New House Prices","2001","2001","05","Waterford","Euro","155488"
"HSA06C1","New House Prices","2001","2001","06","Other areas","Euro","166834"
"HSA06C1","New House Prices","2002","2002","-","National","Euro","198087"
"HSA06C1","New House Prices","2002","2002","01","Dublin","Euro","256109"
"HSA06C1","New House Prices","2002","2002","02","Cork","Euro","184369"
"HSA06C1","New House Prices","2002","2002","03","Galway","Euro","187607"
"HSA06C1","New House Prices","2002","2002","04","Limerick","Euro","168574"
"HSA06C1","New House Prices","2002","2002","05","Waterford","Euro","167272"
"HSA06C1","New House Prices","2002","2002","06","Other areas","Euro","179936"
"HSA06C1","New House Prices","2003","2003","-","National","Euro","224567"
"HSA06C1","New House Prices","2003","2003","01","Dublin","Euro","291646"
"HSA06C1","New House Prices","2003","2003","02","Cork","Euro","211980"
"HSA06C1","New House Prices","2003","2003","03","Galway","Euro","223388"
"HSA06C1","New House Prices","2003","2003","04","Limerick","Euro","197672"
"HSA06C1","New House Prices","2003","2003","05","Waterford","Euro","195173"
"HSA06C1","New House Prices","2003","2003","06","Other areas","Euro","203125"
"HSA06C1","New House Prices","2004","2004","-","National","Euro","249191"
"HSA06C1","New House Prices","2004","2004","01","Dublin","Euro","322628"
"HSA06C1","New House Prices","2004","2004","02","Cork","Euro","237858"
"HSA06C1","New House Prices","2004","2004","03","Galway","Euro","242218"
"HSA06C1","New House Prices","2004","2004","04","Limerick","Euro","210868"
"HSA06C1","New House Prices","2004","2004","05","Waterford","Euro","220286"
"HSA06C1","New House Prices","2004","2004","06","Other areas","Euro","228057"
"HSA06C1","New House Prices","2005","2005","-","National","Euro","276221"
"HSA06C1","New House Prices","2005","2005","01","Dublin","Euro","350891"
"HSA06C1","New House Prices","2005","2005","02","Cork","Euro","265644"
"HSA06C1","New House Prices","2005","2005","03","Galway","Euro","274905"
"HSA06C1","New House Prices","2005","2005","04","Limerick","Euro","226393"
"HSA06C1","New House Prices","2005","2005","05","Waterford","Euro","246914"
"HSA06C1","New House Prices","2005","2005","06","Other areas","Euro","254006"
"HSA06C1","New House Prices","2006","2006","-","National","Euro","305637"
"HSA06C1","New House Prices","2006","2006","01","Dublin","Euro","405957"
"HSA06C1","New House Prices","2006","2006","02","Cork","Euro","305015"
"HSA06C1","New House Prices","2006","2006","03","Galway","Euro","286176"
"HSA06C1","New House Prices","2006","2006","04","Limerick","Euro","275411"
"HSA06C1","New House Prices","2006","2006","05","Waterford","Euro","271521"
"HSA06C1","New House Prices","2006","2006","06","Other areas","Euro","276570"
"HSA06C1","New House Prices","2007","2007","-","National","Euro","322634"
"HSA06C1","New House Prices","2007","2007","01","Dublin","Euro","416225"
"HSA06C1","New House Prices","2007","2007","02","Cork","Euro","325453"
"HSA06C1","New House Prices","2007","2007","03","Galway","Euro","300750"
"HSA06C1","New House Prices","2007","2007","04","Limerick","Euro","288202"
"HSA06C1","New House Prices","2007","2007","05","Waterford","Euro","292057"
"HSA06C1","New House Prices","2007","2007","06","Other areas","Euro","296605"
"HSA06C1","New House Prices","2008","2008","-","National","Euro","305269"
"HSA06C1","New House Prices","2008","2008","01","Dublin","Euro","370495"
"HSA06C1","New House Prices","2008","2008","02","Cork","Euro","314276"
"HSA06C1","New House Prices","2008","2008","03","Galway","Euro","292777"
"HSA06C1","New House Prices","2008","2008","04","Limerick","Euro","276719"
"HSA06C1","New House Prices","2008","2008","05","Waterford","Euro","288478"
"HSA06C1","New House Prices","2008","2008","06","Other areas","Euro","282677"
"HSA06C1","New House Prices","2009","2009","-","National","Euro","242033"
"HSA06C1","New House Prices","2009","2009","01","Dublin","Euro","260170"
"HSA06C1","New House Prices","2009","2009","02","Cork","Euro","252011"
"HSA06C1","New House Prices","2009","2009","03","Galway","Euro","236113"
"HSA06C1","New House Prices","2009","2009","04","Limerick","Euro","260684"
"HSA06C1","New House Prices","2009","2009","05","Waterford","Euro","227444"
"HSA06C1","New House Prices","2009","2009","06","Other areas","Euro","231739"
"HSA06C1","New House Prices","2010","2010","-","National","Euro","228268"
"HSA06C1","New House Prices","2010","2010","01","Dublin","Euro","251629"
"HSA06C1","New House Prices","2010","2010","02","Cork","Euro","244333"
"HSA06C1","New House Prices","2010","2010","03","Galway","Euro","219459"
"HSA06C1","New House Prices","2010","2010","04","Limerick","Euro","224778"
"HSA06C1","New House Prices","2010","2010","05","Waterford","Euro","224021"
"HSA06C1","New House Prices","2010","2010","06","Other areas","Euro","218097"
"HSA06C1","New House Prices","2011","2011","-","National","Euro","230303"
"HSA06C1","New House Prices","2011","2011","01","Dublin","Euro","290668"
"HSA06C1","New House Prices","2011","2011","02","Cork","Euro","241502"
"HSA06C1","New House Prices","2011","2011","03","Galway","Euro","229558"
"HSA06C1","New House Prices","2011","2011","04","Limerick","Euro","216307"
"HSA06C1","New House Prices","2011","2011","05","Waterford","Euro","205598"
"HSA06C1","New House Prices","2011","2011","06","Other areas","Euro","216400"
"HSA06C1","New House Prices","2012","2012","-","National","Euro","220415"
"HSA06C1","New House Prices","2012","2012","01","Dublin","Euro","265633"
"HSA06C1","New House Prices","2012","2012","02","Cork","Euro","235473"
"HSA06C1","New House Prices","2012","2012","03","Galway","Euro","219233"
"HSA06C1","New House Prices","2012","2012","04","Limerick","Euro","212902"
